id,name,nric,dob,address,phone,email,employment,income,referral_source,area_of_law,status,notes
1134,Meena Subramaniam,T9435963G,28-Nov-83,Blk 31 Dover Rd #07-188,89491741,meena.subramaniam@example.com,Part-time,"$3,200",Friend,Consumer debt,Closed,"Bought faulty phone, shop refuses refund."
1135,Ravi Das,S5478016G,24/3/1985,Blk 486 Toa Payoh Lor 1 #15-138,86330433,ravi.das@example.com,Student,3000,,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1136,Kavitha Menon,S9920662B,19/4/2001,Blk 368 Toa Payoh Lor 1 #03-190,82650192,kavitha.menon@example.com,Employed,2600,Walk-in,Wills and probate,Closed,"Executor of aunt's estate, unsure of duties."
1137,Siti Hassan,T3109212B,3/3/1977,Blk 353 Telok Blangah Cres #13-191,88149373,siti.hassan@example.com,Student,"$1,800",Friend,Unassigned,Closed,Not sure we can help - flag for manager.
1138,Kok Wai Wong,T3077479C,1965-09-09,Blk 135 Tampines St 41 #13-050,85866617,kok.wong@example.com,Employed,4200,Previous client,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1139,Suresh Kumar,T7511068Z,1998-03-15,Blk 434 Telok Blangah Cres #09-076,88457455,suresh.kumar@example.com,Part-time,3000,MP meet-the-people,Unassigned,Open,"Walk-in, complex family matter, referred elsewhere?"
1140,Danial Latiff,S7222211A,1998-03-07,Blk 188 Jurong West St 52 #03-145,81815747,danial.latiff@example.com,Unemployed,n/a,Friend,Neighbour disputes,Open,"Noise from upstairs unit, nightly, HDB."
1141,Meena Subramaniam,S0927744D,1968-11-03,Blk 162 Clementi Ave 4 #07-165,82014783,meena.subramaniam@example.com,Part-time,0,,Unassigned,Closed,"Immigration question - out of scope, note for records."
1142,Bernard Tham,S2885294G,14-Nov-76,Blk 230 Clementi Ave 4 #04-061,89546178,bernard.tham@example.com,Employed,2200,Family Service Centre,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1143,Yong Sheng Chua,S9932189B,26-Oct-94,Blk 443 Yishun Ring Rd #09-192,87888369,yong.chua@example.com,Unemployed,2600,Community centre,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1144,Ravi Das,T6046591I,13/10/1974,Blk 146 Toa Payoh Lor 1 #18-043,89961855,ravi.das@example.com,Unemployed,n/a,Community centre,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1145,Faizal Osman,T6447039F,1986-04-01,Blk 80 Telok Blangah Cres #19-008,85062974,faizal.osman@example.com,Retired,3800,,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1146,Xin Yi Yeo,T9912512B,1996-02-17,Blk 421 Jurong West St 52 #07-154,86317936,xin.yeo@example.com,Student,2600,Community centre,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1147,Meena Subramaniam,S8868997Z,2-Dec-64,Blk 317 Telok Blangah Cres #16-072,88807172,meena.subramaniam@example.com,Self-employed,"$2,500",Google,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1148,Pei Shan Sim,T1315492D,1976-09-21,Blk 474 Bishan St 12 #10-031,88815037,pei.sim@example.com,Employed,"$3,200",,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1149,Bernard Tham,T2772793Z,1978-03-14,Blk 94 Bishan St 12 #17-066,86914688,bernard.tham@example.com,Employed,4200,Walk-in,Consumer debt,Closed,"Bought faulty phone, shop refuses refund."
1150,Mei Ling Goh,T9220869F,3-Sep-57,Blk 685 Ang Mo Kio Ave 3 #13-016,82371985,mei.goh@example.com,Unemployed,1500,MP meet-the-people,Employment,Closed,Claims constructive dismissal. Wants to know options.
1151,Anand Rajan,T2215073I,2001-02-07,Blk 323 Clementi Ave 4 #04-156,81738584,anand.rajan@example.com,Retired,1500,Previous client,Consumer debt,Open,"Renovation contractor took deposit, work not done."
1152,Aisyah Yusof,T8125331D,3-Aug-74,Blk 698 Tampines St 41 #08-045,87971843,aisyah.yusof@example.com,Student,2600,,Unassigned,Closed,"Walk-in, complex family matter, referred elsewhere?"
1153,Jia Hao Lee,T1636957H,1986-02-25,Blk 423 Dover Rd #19-150,87709053,jia.lee@example.com,Student,"$2,500",Google,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1154,Kok Wai Wong,S4900442Z,26/1/1970,Blk 21 Hougang Ave 8 #02-185,81126207,kok.wong@example.com,Retired,"$1,800",Previous client,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1155,Hui Ling Lim,S5648624C,27/10/1989,Blk 54 Woodlands Dr 50 #19-287,81831860,hui.lim@example.com,Student,3200,MP meet-the-people,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1156,Hui Ling Lim,S7146053E,1999-05-03,Blk 473 Hougang Ave 8 #03-271,82292191,hui.lim@example.com,Employed,2200,Family Service Centre,Wills and probate,Open,"Executor of aunt's estate, unsure of duties."
1157,Siti Hassan,T8812566C,1985-09-14,Blk 319 Bishan St 12 #18-117,85101051,siti.hassan@example.com,Self-employed,3800,,Unassigned,Closed,"Immigration question - out of scope, note for records."
1158,Shu Fen Ng,S0313114B,,Blk 595 Clementi Ave 4 #06-180,89545274,shu.ng@example.com,Unemployed,,Google,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1159,Kok Wai Wong,S2310659I,2001-12-27,Blk 403 Bishan St 12 #18-250,81796644,kok.wong@example.com,Student,,Family Service Centre,Neighbour disputes,Closed,Dispute over shared wall renovation.
1160,Anand Rajan,T0166732D,27/11/1983,Blk 112 Commonwealth Dr #02-204,85108088,anand.rajan@example.com,Self-employed,3200,Previous client,Small claims,Open,"Deposit for wedding photography, vendor closed down."
1161,Yong Sheng Chua,T9251515J,2/9/1998,Blk 621 Clementi Ave 4 #04-237,88710927,yong.chua@example.com,Employed,"$3,200",Community centre,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1162,Iskandar Salleh,T9779309G,13/11/1984,Blk 568 Tampines St 41 #13-032,87625024,iskandar.salleh@example.com,Unemployed,1500,Friend,Tenancy,Open,"Sub-tenant, main tenant vanished, agent demanding rent."
1163,Suresh Kumar,T5059398F,1/6/1969,Blk 427 Hougang Ave 8 #11-174,89194464,suresh.kumar@example.com,Student,"$3,200",,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1164,Farah Karim,T6052318B,4/10/1965,Blk 620 Clementi Ave 4 #06-197,86242949,farah.karim@example.com,Student,,Community centre,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1165,Iskandar Salleh,T1324796E,7-Sep-97,Blk 260 Tampines St 41 #04-298,82267715,iskandar.salleh@example.com,Retired,1800,Friend,Wills and probate,Open,Needs LPA for elderly mother with dementia.
1166,Wei Ming Tan,S7770740B,,Blk 337 Hougang Ave 8 #07-213,86524131,wei.tan@example.com,Part-time,~3000,Community centre,Consumer debt,Open,"Renovation contractor took deposit, work not done."
1167,Mei Ling Goh,T1653301Z,2003-10-16,Blk 168 Bishan St 12 #12-200,85966623,mei.goh@example.com,Unemployed,2200,Family Service Centre,Wills and probate,Closed,"Father passed, no will, HDB flat, siblings disagree."
1168,Chin Hock Teo,T4386170E,28/10/1993,Blk 250 Hougang Ave 8 #06-120,86408241,chin.teo@example.com,Part-time,,,Employment,Closed,Salary unpaid for two months. Employer not responding.
1169,Kavitha Menon,S8705312G,1-Jan-98,Blk 363 Telok Blangah Cres #13-024,84418091,kavitha.menon@example.com,Retired,2200,Google,Consumer debt,Closed,"Loan from licensed moneylender, disputes amount owed."
1170,Wei Ming Tan,T1396408B,8/9/1979,Blk 146 Hougang Ave 8 #17-115,84339496,wei.tan@example.com,Employed,2600,Family Service Centre,Employment,Closed,Salary unpaid for two months. Employer not responding.
1171,Jia Hao Lee,S0763217B,1968-01-08,Blk 86 Tampines St 41 #17-214,82921515,jia.lee@example.com,Part-time,2600,Friend,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1172,Priya Nair,T7267802C,27/8/1966,Blk 222 Tampines St 41 #13-104,81944540,priya.nair@example.com,Retired,n/a,Community centre,Small claims,Open,"Online purchase never delivered, seller unreachable."
1173,Shu Fen Ng,S4498198A,19/9/1964,Blk 376 Clementi Ave 4 #04-214,89052014,shu.ng@example.com,Self-employed,n/a,Family Service Centre,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1174,Anand Rajan,S7121816Z,1963-02-27,Blk 76 Clementi Ave 4 #19-082,85636653,anand.rajan@example.com,Student,"$3,200",Previous client,Unassigned,Closed,"Immigration question - out of scope, note for records."
1175,Vijay Iyer,S9142038F,7/9/1981,Blk 218 Bishan St 12 #15-015,82556302,vijay.iyer@example.com,Retired,0,Google,Employment,Closed,Claims constructive dismissal. Wants to know options.
1176,Jia Hao Lee,T9844343C,18/3/1977,Blk 264 Woodlands Dr 50 #03-159,82901520,jia.lee@example.com,Employed,"$1,800",,Employment,Closed,Salary unpaid for two months. Employer not responding.
1177,Li Ying Ong,S5029939H,1992-10-11,Blk 619 Jurong West St 52 #11-127,87585634,li.ong@example.com,Self-employed,~3000,Family Service Centre,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1178,Xin Yi Yeo,T8980288A,4/5/1970,Blk 320 Telok Blangah Cres #11-011,87651612,xin.yeo@example.com,Student,,,Consumer debt,Open,"Renovation contractor took deposit, work not done."
1179,Deepa Pillai,S1282999C,1985-10-05,Blk 476 Bedok Nth Rd #18-111,85633848,deepa.pillai@example.com,Part-time,2600,Friend,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1180,Pei Shan Sim,T8252878E,1994-03-13,Blk 123 Bishan St 12 #12-118,88318308,pei.sim@example.com,Part-time,4200,Previous client,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1181,Ravi Das,S6772689E,1-Mar-74,Blk 182 Woodlands Dr 50 #07-088,89674676,ravi.das@example.com,Self-employed,,,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1182,Zhi Hao Koh,S7255741A,27/8/1989,Blk 579 Jurong West St 52 #15-166,84161247,zhi.koh@example.com,Student,"$2,500",MP meet-the-people,Employment,Open,"Unpaid overtime, foreign worker, worried about pass status."
1183,Kok Wai Wong,T7273373E,9/10/1977,Blk 654 Clementi Ave 4 #07-122,86620329,kok.wong@example.com,Unemployed,3200,Facebook,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1184,Priya Nair,T6669288D,5/4/1990,Blk 95 Tampines St 41 #05-008,89831952,priya.nair@example.com,Employed,,Previous client,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1185,Chin Hock Teo,T0250065D,21/10/1986,Blk 246 Jurong West St 52 #05-018,85025975,chin.teo@example.com,Retired,3800,Google,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1186,Farah Karim,T4390193J,1966-06-17,Blk 105 Ang Mo Kio Ave 3 #02-135,81540192,farah.karim@example.com,Unemployed,3800,MP meet-the-people,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1187,Chin Hock Teo,S1080349C,15/3/1975,Blk 568 Jurong West St 52 #09-228,84331964,chin.teo@example.com,Part-time,n/a,Friend,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1188,Aishah Rahman,S9844056C,,Blk 271 Telok Blangah Cres #14-167,87832914,aishah.rahman@example.com,Unemployed,3000,Walk-in,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1189,Zhi Hao Koh,S7946035A,23/7/1988,Blk 436 Bedok Nth Rd #13-283,82761622,zhi.koh@example.com,Retired,2600,,Employment,Closed,Claims constructive dismissal. Wants to know options.
1190,Kok Wai Wong,T3202845Z,16/12/2003,Blk 47 Bedok Nth Rd #16-035,88563470,kok.wong@example.com,Self-employed,4200,Google,Employment,Closed,Salary unpaid for two months. Employer not responding.
1191,Yong Sheng Chua,S3134897C,21/11/1981,Blk 662 Clementi Ave 4 #15-237,89917488,yong.chua@example.com,Unemployed,,,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1192,Vijay Iyer,S4392869F,1982-04-06,Blk 7 Commonwealth Dr #12-240,86263769,vijay.iyer@example.com,Student,3200,Google,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1193,Yong Sheng Chua,T7845346H,1990-09-14,Blk 11 Woodlands Dr 50 #10-244,83299877,yong.chua@example.com,Employed,,Previous client,Neighbour disputes,Open,"Noise from upstairs unit, nightly, HDB."
1194,Mei Ling Goh,S4589281D,11-Aug-69,Blk 297 Toa Payoh Lor 1 #06-232,85304216,mei.goh@example.com,Employed,,Community centre,Neighbour disputes,Closed,Dispute over shared wall renovation.
1195,Siti Hassan,T8195705C,28-Apr-69,Blk 644 Commonwealth Dr #19-137,85287160,siti.hassan@example.com,Student,3800,Community centre,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1196,Jia Hao Lee,T0876295E,12/11/1973,Blk 250 Ang Mo Kio Ave 3 #15-206,83993275,jia.lee@example.com,Employed,~3000,Google,Employment,Closed,Claims constructive dismissal. Wants to know options.
1197,Siti Hassan,S2614542E,23/2/1968,Blk 277 Yishun Ring Rd #16-212,83827557,siti.hassan@example.com,Student,0,Walk-in,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1198,Hui Ling Lim,S6070125H,1998-10-05,Blk 460 Ang Mo Kio Ave 3 #10-271,86202468,hui.lim@example.com,Unemployed,2200,MP meet-the-people,Small claims,Closed,"Car workshop overcharged, poor repair."
1199,Deepa Pillai,S9026432D,1973-12-04,Blk 695 Bedok Nth Rd #07-049,89133014,deepa.pillai@example.com,Employed,"$3,200",MP meet-the-people,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1200,Aishah Rahman,T4006316B,1989-03-23,Blk 270 Yishun Ring Rd #19-070,85487293,aishah.rahman@example.com,Student,1500,,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1201,Mei Ling Goh,S0491675G,17-Jun-70,Blk 347 Yishun Ring Rd #16-001,87135837,mei.goh@example.com,Employed,n/a,,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1202,Vijay Iyer,T9615737C,17-Apr-82,Blk 249 Hougang Ave 8 #07-244,86551491,vijay.iyer@example.com,Part-time,"$3,200",Google,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1203,Zhi Hao Koh,S1897109C,1973-09-02,Blk 184 Tampines St 41 #08-256,89652667,zhi.koh@example.com,Employed,n/a,Family Service Centre,Employment,Closed,Salary unpaid for two months. Employer not responding.
1204,Aishah Rahman,S2747225J,1996-01-22,Blk 684 Yishun Ring Rd #16-074,83001505,aishah.rahman@example.com,Part-time,"$3,200",MP meet-the-people,Employment,Closed,Claims constructive dismissal. Wants to know options.
1205,Hui Ling Lim,S2420921E,2001-12-19,Blk 40 Yishun Ring Rd #15-063,84857918,hui.lim@example.com,Unemployed,3200,Friend,Neighbour disputes,Open,"Smoking at corridor, children asthmatic."
1206,Kok Wai Wong,S2637421C,4/5/1960,Blk 88 Jurong West St 52 #20-229,89434887,kok.wong@example.com,Retired,,Facebook,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1207,Chin Hock Teo,S4775049C,,Blk 539 Woodlands Dr 50 #09-087,88355478,chin.teo@example.com,Self-employed,,MP meet-the-people,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1208,Hui Ling Lim,S2147047H,12/1/1995,Blk 52 Ang Mo Kio Ave 3 #02-277,82180256,hui.lim@example.com,Retired,"$3,200",Facebook,Consumer debt,Open,"Loan from licensed moneylender, disputes amount owed."
1209,Nurul Ibrahim,T7943964F,20/4/2002,Blk 386 Woodlands Dr 50 #18-154,86354380,nurul.ibrahim@example.com,Unemployed,3000,Family Service Centre,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1210,Chin Hock Teo,T5550316F,1974-10-01,Blk 315 Yishun Ring Rd #19-109,88601981,chin.teo@example.com,Employed,0,,Wills and probate,Closed,"Executor of aunt's estate, unsure of duties."
1211,Wei Ming Tan,S7285141C,21/4/1959,Blk 176 Jurong West St 52 #06-300,82369611,wei.tan@example.com,Retired,2600,,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1212,Shu Fen Ng,S9993625I,1990-12-12,Blk 491 Hougang Ave 8 #04-044,88102993,shu.ng@example.com,Part-time,3800,Walk-in,Employment,Closed,Salary unpaid for two months. Employer not responding.
1213,Zhi Hao Koh,T2688937B,23-Jul-74,Blk 493 Jurong West St 52 #16-074,83900285,zhi.koh@example.com,Retired,0,Google,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1214,Aishah Rahman,T2927284I,1/4/1991,Blk 246 Jurong West St 52 #02-278,83225890,aishah.rahman@example.com,Unemployed,~3000,Google,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1215,Ravi Das,S6371404A,21-Feb-84,Blk 286 Commonwealth Dr #16-258,81095853,ravi.das@example.com,Retired,3000,,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1216,Faizal Osman,T9753737C,1977-06-25,Blk 145 Hougang Ave 8 #06-180,83905007,faizal.osman@example.com,Retired,2600,Friend,Wills and probate,Closed,"Father passed, no will, HDB flat, siblings disagree."
1217,Meena Subramaniam,S5707987B,1978-09-10,Blk 64 Bedok Nth Rd #20-160,84714924,meena.subramaniam@example.com,Part-time,3800,,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1218,Chin Hock Teo,T1651897A,17/3/1994,Blk 269 Hougang Ave 8 #15-134,88927207,chin.teo@example.com,Employed,,MP meet-the-people,Small claims,Closed,"Car workshop overcharged, poor repair."
1219,Nurul Ibrahim,S9110429J,10/8/2003,Blk 313 Commonwealth Dr #07-268,82572885,nurul.ibrahim@example.com,Part-time,2600,Community centre,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1220,Mei Ling Goh,T9955201E,1998-08-27,Blk 526 Bishan St 12 #10-185,82381211,mei.goh@example.com,Student,"$1,800",Family Service Centre,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1221,Ravi Das,S7808128H,1984-01-26,Blk 303 Toa Payoh Lor 1 #19-027,84344164,ravi.das@example.com,Employed,"$3,200",Facebook,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1222,Anand Rajan,T9291019I,1987-10-23,Blk 613 Jurong West St 52 #06-071,84836794,anand.rajan@example.com,Retired,4200,Previous client,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1223,Zhi Hao Koh,S4387011A,3/3/1980,Blk 96 Bishan St 12 #11-231,89812035,zhi.koh@example.com,Student,3200,,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1224,Priya Nair,S3035677A,7/8/1969,Blk 262 Yishun Ring Rd #16-130,82413891,priya.nair@example.com,Part-time,2600,Facebook,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1225,Wei Ming Tan,S3342202J,11/1/1967,Blk 389 Commonwealth Dr #04-009,81949262,wei.tan@example.com,Employed,,Previous client,Employment,Closed,Salary unpaid for two months. Employer not responding.
1226,Deepa Pillai,S6502951F,8-Jun-83,Blk 99 Commonwealth Dr #12-182,82126330,deepa.pillai@example.com,Student,"$1,800",Friend,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1227,Bernard Tham,S0091034J,11-May-98,Blk 553 Clementi Ave 4 #17-046,89829081,bernard.tham@example.com,Part-time,n/a,,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1228,Chin Hock Teo,S6067204F,,Blk 638 Commonwealth Dr #18-194,86664244,chin.teo@example.com,Part-time,n/a,Facebook,Wills and probate,Open,"Executor of aunt's estate, unsure of duties."
1229,Wei Ming Tan,S5932757C,2001-10-19,Blk 321 Tampines St 41 #13-116,82144758,wei.tan@example.com,Student,2600,,Employment,Open,Salary unpaid for two months. Employer not responding.
1230,Jia Hao Lee,T1166751C,1967-03-14,Blk 659 Clementi Ave 4 #20-294,84575683,jia.lee@example.com,Unemployed,about 2k,Facebook,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1231,Aishah Rahman,S0835512D,1965-08-02,Blk 344 Jurong West St 52 #17-092,89493190,aishah.rahman@example.com,Self-employed,0,,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1232,Shu Fen Ng,S4805359B,1961-04-11,Blk 391 Jurong West St 52 #16-020,87521251,shu.ng@example.com,Student,,Family Service Centre,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1233,Vijay Iyer,S1197499G,,Blk 609 Toa Payoh Lor 1 #13-176,82521917,vijay.iyer@example.com,Unemployed,3000,Walk-in,Small claims,Open,"Neighbour's contractor damaged wall, refuses to pay."
1234,Deepa Pillai,S2527252F,12/12/1970,Blk 672 Bishan St 12 #02-185,81566862,deepa.pillai@example.com,Student,2600,,Employment,Open,"Unpaid overtime, foreign worker, worried about pass status."
1235,Xin Yi Yeo,T4443517Z,26/8/1987,Blk 201 Hougang Ave 8 #14-106,89563568,xin.yeo@example.com,Employed,4200,Facebook,Consumer debt,Open,"Loan from licensed moneylender, disputes amount owed."
1236,Mei Ling Goh,T1381010H,1996-03-18,Blk 251 Bishan St 12 #06-232,87610445,mei.goh@example.com,Student,unknown,Facebook,Employment,Open,Dismissed after raising a safety complaint. Has messages.
1237,Pei Shan Sim,T9790037G,14-Aug-85,Blk 230 Woodlands Dr 50 #02-227,82414524,pei.sim@example.com,Retired,1500,Friend,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1238,Wei Ming Tan,S1468618B,26-Dec-85,Blk 533 Hougang Ave 8 #04-175,83638328,wei.tan@example.com,Employed,,,Employment,Closed,Salary unpaid for two months. Employer not responding.
1239,Zhi Hao Koh,S7370168B,15/2/1982,Blk 239 Telok Blangah Cres #12-018,81975533,zhi.koh@example.com,Employed,0,,Employment,Closed,Claims constructive dismissal. Wants to know options.
1240,Faizal Osman,T5072130H,1/6/1956,Blk 117 Yishun Ring Rd #05-114,85022586,faizal.osman@example.com,Part-time,unknown,MP meet-the-people,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1241,Faizal Osman,T8756870D,1967-08-05,Blk 205 Yishun Ring Rd #17-233,87188995,faizal.osman@example.com,Self-employed,~3000,MP meet-the-people,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1242,Bernard Tham,T0497474G,1965-09-10,Blk 382 Clementi Ave 4 #04-251,87711243,bernard.tham@example.com,Employed,3800,Walk-in,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1243,Ravi Das,S8676849J,16/4/1958,Blk 597 Commonwealth Dr #16-275,86887326,ravi.das@example.com,Student,3800,Facebook,Employment,Open,Salary unpaid for two months. Employer not responding.
1244,Faizal Osman,S4775892A,1984-08-01,Blk 644 Bedok Nth Rd #10-116,86759161,faizal.osman@example.com,Employed,0,,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1245,Marcus DCruz,S7558385A,12-Jul-91,Blk 183 Woodlands Dr 50 #17-185,85230467,marcus.dcruz@example.com,Retired,4200,Community centre,Small claims,Open,"Online purchase never delivered, seller unreachable."
1246,Priya Nair,S1188461H,1990-05-26,Blk 288 Clementi Ave 4 #20-191,81651144,priya.nair@example.com,Part-time,"$1,800",Previous client,Consumer debt,Open,"Renovation contractor took deposit, work not done."
1247,Jia Hao Lee,S8329754H,26/10/1960,Blk 550 Bedok Nth Rd #07-243,87356341,jia.lee@example.com,Part-time,"$3,200",Friend,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1248,Chin Hock Teo,S1394877C,1968-03-12,Blk 650 Bedok Nth Rd #13-082,86758492,chin.teo@example.com,Retired,3800,MP meet-the-people,Employment,Closed,Claims constructive dismissal. Wants to know options.
1249,Jia Hao Lee,S8353703C,1979-06-08,Blk 266 Commonwealth Dr #13-271,87403731,jia.lee@example.com,Self-employed,3800,Google,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1250,Farah Karim,S7131646D,22-Apr-66,Blk 310 Bedok Nth Rd #03-067,82142746,farah.karim@example.com,Retired,4200,,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1251,Shu Fen Ng,T9774618D,1999-04-27,Blk 284 Woodlands Dr 50 #06-212,83136981,shu.ng@example.com,Part-time,"$3,200",Family Service Centre,Unassigned,Closed,Not sure we can help - flag for manager.
1252,Zhi Hao Koh,S8047486D,14/2/1990,Blk 213 Toa Payoh Lor 1 #10-170,84326383,zhi.koh@example.com,Retired,3000,Walk-in,Wills and probate,Open,"Small estate, bank refuses to release without grant."
1253,Xin Yi Yeo,T4680907A,1984-10-05,Blk 143 Dover Rd #13-009,82793313,xin.yeo@example.com,Employed,1500,Family Service Centre,Neighbour disputes,Open,"Shared corridor blocked with items, fire hazard."
1254,Farah Karim,T4879379G,1955-11-11,Blk 261 Woodlands Dr 50 #07-069,81190603,farah.karim@example.com,Employed,2200,,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1255,Faizal Osman,T5884141H,1/7/1988,Blk 291 Telok Blangah Cres #12-248,84600393,faizal.osman@example.com,Unemployed,4200,MP meet-the-people,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1256,Ravi Das,T7704741G,1-Nov-78,Blk 394 Telok Blangah Cres #20-153,86318571,ravi.das@example.com,Unemployed,"$2,500",,Unassigned,Closed,"Walk-in, complex family matter, referred elsewhere?"
1257,Wei Ming Tan,S2345881F,11/9/1988,Blk 73 Dover Rd #19-292,82433282,wei.tan@example.com,Student,1500,Walk-in,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1258,Wei Ming Tan,T8140602Z,,Blk 111 Yishun Ring Rd #06-289,84515143,wei.tan@example.com,Part-time,n/a,,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1259,Danial Latiff,T0609010A,7/5/1989,Blk 135 Bedok Nth Rd #05-126,83075773,danial.latiff@example.com,Retired,,Facebook,Employment,Open,Claims constructive dismissal. Wants to know options.
1260,Kavitha Menon,S5572780C,6-Feb-94,Blk 351 Bedok Nth Rd #20-031,85234748,kavitha.menon@example.com,Self-employed,,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1261,Hui Ling Lim,S2296968B,26/5/2003,Blk 442 Woodlands Dr 50 #11-217,87401549,hui.lim@example.com,Unemployed,0,Walk-in,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1262,Yong Sheng Chua,S7105532A,1978-06-24,Blk 134 Toa Payoh Lor 1 #18-052,85245596,yong.chua@example.com,Retired,unknown,Friend,Neighbour disputes,Open,"Shared corridor blocked with items, fire hazard."
1263,Priya Nair,T4885636I,28/2/1986,Blk 315 Clementi Ave 4 #15-023,83191558,priya.nair@example.com,Retired,4200,Family Service Centre,Employment,Open,Salary unpaid for two months. Employer not responding.
1264,Kok Wai Wong,T9271059F,23/10/1978,Blk 674 Dover Rd #06-216,81485255,kok.wong@example.com,Part-time,,,Consumer debt,Closed,"Loan from licensed moneylender, disputes amount owed."
1265,Danial Latiff,T9381178C,1970-10-09,Blk 369 Clementi Ave 4 #11-193,84161765,danial.latiff@example.com,Employed,3200,Friend,Employment,Closed,Salary unpaid for two months. Employer not responding.
1266,Pei Shan Sim,S6259041G,22-Aug-66,Blk 55 Bishan St 12 #11-159,81360396,pei.sim@example.com,Unemployed,,Walk-in,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1267,Siti Hassan,S3892547Z,1997-12-06,Blk 260 Tampines St 41 #08-082,85758652,siti.hassan@example.com,Part-time,"$3,200",,Small claims,Closed,"Neighbour's contractor damaged wall, refuses to pay."
1268,Bernard Tham,T9588885H,7/12/2003,Blk 415 Telok Blangah Cres #20-042,82388430,bernard.tham@example.com,Unemployed,3000,Previous client,Small claims,Closed,"Online purchase never delivered, seller unreachable."
